latitude,longitude,site,landcover
-24.4480169803612,32.86972726364006,Chokwe,Cropland irrigated 2
-24.44161565114499,32.86433245350959,Chokwe,Cropland irrigated 2
-24.449030123147352,32.866421518683005,Chokwe,Cropland irrigated 2
-24.45288976726231,32.87475383169025,Chokwe,Cropland irrigated 2
-24.453996423328302,32.8680257473469,Chokwe,Cropland irrigated 2
-24.470217707353644,32.98865791977167,Chokwe,Cropland irrigated 2
-24.469025744433836,32.98769274652063,Chokwe,Cropland irrigated 2
-24.480672893762144,32.997276146827545,Chokwe,Cropland irrigated 2
-24.475339736526614,32.99402755145636,Chokwe,Cropland irrigated 2
-24.51628570965826,33.0474253515346,Chokwe,Cropland irrigated 2
-24.533328445659617,33.02100674435792,Chokwe,Cropland irrigated 2
-24.5352907502816,33.0237544038529,Chokwe,Cropland irrigated 2
-24.52682378425629,33.019144591181366,Chokwe,Cropland irrigated 2
-24.531718011902996,33.01054844707231,Chokwe,Cropland irrigated 2
-24.528498497366837,33.02240193302049,Chokwe,Cropland irrigated 2
-24.53399727890402,33.029087573873966,Chokwe,Cropland irrigated 2
-24.529388991672093,33.036980309169,Chokwe,Cropland irrigated 2
-24.52577831831363,33.033160582362896,Chokwe,Cropland irrigated 2
-24.53150356462538,33.01602307753129,Chokwe,Cropland irrigated 2
-24.547605039047014,33.09348017861069,Chokwe,Cropland irrigated 2
-24.549457179236803,33.09454917578022,Chokwe,Cropland irrigated 2
-24.547815003835613,33.08948008064759,Chokwe,Cropland irrigated 2
-24.54833151380492,33.090853322711,Chokwe,Cropland irrigated 2
-24.551343632629155,33.09570978977629,Chokwe,Cropland irrigated 2
-24.564422928057702,33.100194284004175,Chokwe,Cropland irrigated 2
-24.579290956520587,33.10194829011607,Chokwe,Cropland irrigated 2
-24.576460904291277,33.11629016742855,Chokwe,Cropland irrigated 2
-24.571544922693338,33.06136919385509,Chokwe,Cropland irrigated 2
-24.568885689000503,33.0663837181481,Chokwe,Cropland irrigated 2
-24.57025304435517,33.07585395414726,Chokwe,Cropland irrigated 2
-24.60626284604884,33.09879851982569,Chokwe,Cropland irrigated 2
-24.611035752981657,33.09911623160997,Chokwe,Cropland irrigated 2
-24.613280107861616,33.09156849586438,Chokwe,Cropland irrigated 2
-24.61707985872813,33.07962639061571,Chokwe,Cropland irrigated 2
-24.617833696236605,33.10357227688772,Chokwe,Cropland irrigated 2
-24.61822875060638,33.10904879898894,Chokwe,Cropland irrigated 2
-24.61658779700406,33.11028314985013,Chokwe,Cropland irrigated 2
-24.61723509144212,33.11414944912239,Chokwe,Cropland irrigated 2
-24.66453269290706,33.0536353826167,Chokwe,Cropland irrigated 2
-24.640727310863667,33.04736129363602,Chokwe,Cropland irrigated 2
-24.634775641440648,33.03598990494683,Chokwe,Cropland irrigated 2
-24.634440571988932,33.0459350882902,Chokwe,Cropland irrigated 2
-24.63467778182173,33.03860637599845,Chokwe,Cropland irrigated 2
-24.63135821926456,33.042732485665844,Chokwe,Cropland irrigated 2
-24.632758535591165,33.03574954743371,Chokwe,Cropland irrigated 2
-18.92368730826375,33.13047436976598,Manica,Cropland irrigated 2
-18.923718954228022,33.13359126695183,Manica,Cropland irrigated 2
-18.922344232306095,33.1348864999158,Manica,Cropland irrigated 2
-18.919493030027372,33.13175008993024,Manica,Cropland irrigated 2
-18.920399488485874,33.133126816692716,Manica,Cropland irrigated 2
-18.917251543872126,33.13096254581711,Manica,Cropland irrigated 2
-18.066432782761638,33.15409889262819,Catandica,Cropland irrigated 2
-18.0660503622396,33.15512731435409,Catandica,Cropland irrigated 2
-18.065555966331047,33.156903821392646,Catandica,Cropland irrigated 2
-18.066337523404865,33.16041975355197,Catandica,Cropland irrigated 2
-18.06722387176363,33.15776598984483,Catandica,Cropland irrigated 2
-18.067965151365428,33.16075507179383,Catandica,Cropland irrigated 2
-18.065147296932825,33.160430780801605,Catandica,Cropland irrigated 2
-18.06589495288268,33.16032764593438,Catandica,Cropland irrigated 2
-18.06570223793558,33.15568134269115,Catandica,Cropland irrigated 2
-18.064882434911585,33.15583399345283,Catandica,Cropland irrigated 2
-18.06625160352898,33.15613434231398,Catandica,Cropland irrigated 2
-18.06413063412934,33.16056395649597,Catandica,Cropland irrigated 2
